NZ_GG697149.2	NC_013316	96.584	6002	205	0	502691	508692	2087759	2081758	0.0	9949
NZ_GG697149.2	NC_013316	94.776	2278	116	3	509863	512139	2081377	2079102	0.0	3544
NZ_GG697149.2	NC_013316	90.599	968	86	5	513621	514586	2077285	2076321	0.0	1279
NZ_GG697149.2	NC_013316	83.359	1292	186	20	612747	614023	15498	14221	0.0	1168
NZ_GG697149.2	NC_013316	83.372	1287	186	19	612752	614023	29716	28443	0.0	1166
NZ_GG697149.2	NC_013316	83.372	1287	186	19	612752	614023	3063333	3064606	0.0	1166
NZ_GG697149.2	NC_013316	83.294	1287	187	19	612752	614023	147457	146184	0.0	1160
NZ_GG697149.2	NC_013316	83.294	1287	187	19	612752	614023	383360	382087	0.0	1160
NZ_GG697149.2	NC_013316	83.294	1287	187	19	612752	614023	1092721	1091448	0.0	1160
NZ_GG697149.2	NC_013316	83.294	1287	187	20	612752	614023	3869915	3871188	0.0	1160
NZ_GG697149.2	NC_013316	83.294	1287	187	19	612752	614023	4025604	4026877	0.0	1160
NZ_GG697149.2	NC_013316	83.217	1287	188	19	612752	614023	132682	131409	0.0	1155
NZ_GG697149.2	NC_013316	83.217	1287	188	19	612752	614023	137809	136536	0.0	1155
NZ_GG697149.2	NC_013316	81.866	1318	193	44	616216	617507	380250	378953	0.0	1068
NZ_GG697149.2	NC_013316	81.853	1317	195	42	616216	617507	4028714	4030011	0.0	1068
NZ_GG697149.2	NC_013316	81.777	1317	196	42	616216	617507	129412	128115	0.0	1062
NZ_GG697149.2	NC_013316	81.701	1317	197	42	616216	617507	12322	11025	0.0	1057
NZ_GG697149.2	NC_013316	81.701	1317	197	42	616216	617507	134637	133340	0.0	1057
NZ_GG697149.2	NC_013316	81.701	1317	197	42	616216	617507	1089508	1088211	0.0	1057
NZ_GG697149.2	NC_013316	81.701	1317	197	42	616216	617507	3873089	3874386	0.0	1057
NZ_GG697149.2	NC_013316	81.625	1317	198	42	616216	617507	26544	25247	0.0	1051
NZ_GG697149.2	NC_013316	81.625	1317	196	44	616216	617507	3066410	3067705	0.0	1050
NZ_GG697149.2	NC_013316	97.212	538	15	0	509223	509760	2081593	2081056	0.0	911
NZ_GG697149.2	NC_013316	80.038	1047	166	40	614158	615183	14022	12998	0.0	736
NZ_GG697149.2	NC_013316	80.057	1048	164	41	614158	615183	28244	27220	0.0	736
NZ_GG697149.2	NC_013316	80.038	1047	166	40	614158	615183	131210	130186	0.0	736
NZ_GG697149.2	NC_013316	80.038	1047	166	40	614158	615183	136337	135313	0.0	736
NZ_GG697149.2	NC_013316	80.038	1047	166	40	614158	615183	1091249	1090225	0.0	736
NZ_GG697149.2	NC_013316	79.943	1057	167	42	614149	615183	3064796	3065829	0.0	736
NZ_GG697149.2	NC_013316	79.943	1057	167	42	614149	615183	3871378	3872411	0.0	736
NZ_GG697149.2	NC_013316	79.943	1057	167	42	614149	615183	4027067	4028100	0.0	736
NZ_GG697149.2	NC_013316	79.943	1047	167	40	614158	615183	145985	144961	0.0	730
NZ_GG697149.2	NC_013316	79.943	1047	167	40	614158	615183	381888	380864	0.0	730
NZ_GG697149.2	NC_013316	86.282	277	34	4	284602	284876	11025	11299	1.30e-75	298
NZ_GG697149.2	NC_013316	86.282	277	34	4	284602	284876	25247	25521	1.30e-75	298
NZ_GG697149.2	NC_013316	86.282	277	34	4	284602	284876	128115	128389	1.30e-75	298
NZ_GG697149.2	NC_013316	86.282	277	34	4	284602	284876	133340	133614	1.30e-75	298
